Title,Abstract
"St Margaret's, Westminster","The Church of St Margaret, Westminster Abbey, in the grounds of Westminster Abbey on Parliament Square, London, England, was, until 1972, the Anglican parish church of the House of Commons.[1][failed verification]  It is dedicated to Margaret of Antioch,[2] and forms part of a single World Heritage Site with the Palace of Westminster and Westminster Abbey.
"
Abellio (London & Surrey),"Abellio London is a bus company operating services in Greater London. A subsidiary of Abellio, it operates services under contract to Transport for London. Until September 2018,  services were operated in Surrey under the Abellio Surrey brand.
"
Geoffrey of Monmouth,"Geoffrey of Monmouth (Latin: Galfridus Monemutensis, Galfridus Arturus, Welsh: Gruffudd ap Arthur, Sieffre o Fynwy; c. 1095 – c. 1155) was a British cleric and one of the major figures in the development of British historiography and the popularity of tales of King Arthur. He is best known for his chronicle The History of the Kings of Britain (Latin: De gestis Britonum or Historia Regum Britanniae)[1] which was widely popular in its day, being translated into other languages from its original Latin. It was given historical credence well into the 16th century,[2] but is now considered historically unreliable.
"
Westbourne Grove,"
Coordinates: 51°30′54.2″N 0°11′42.3″W﻿ / ﻿51.515056°N 0.195083°W﻿ / 51.515056; -0.195083
Westbourne Grove is a retail road running across Notting Hill, in the Royal Borough of Kensington and Chelsea and the City of Westminster, a section of west London. It runs from Kensington Park Road in the west to Queensway in the east, crossing over Portobello Road. It contains a mixture of independent and chain retailers,[1] and has been termed both ""fashionable"" and ""up-and-coming"".[2]
The Notting Hill Carnival passes along the central part of Westbourne Grove.
"
Southern (Govia Thameslink Railway),"Southern is the brand name used by the Govia Thameslink Railway (GTR) train operating company on the Southern routes of the Thameslink, Southern and Great Northern franchise in England.[1] It is a subsidiary of Govia, a joint venture between transport groups Go-Ahead and Keolis, and has operated the South Central rail franchise since August 2001 and the Gatwick Express service since June 2008. When was the franchise was subsumed into GTR, Southern was split from Gatwick Express and the two became separate brands, alongside the Thameslink and Great Northern brands.  
Southern had the most dissatisfied passengers in Britain three years in a row, according to the national rail passenger surveys 2016, 2017 and 2018. In 2018 it scored poorly for reliability, punctuality and value for money.[2]
Southern operates the majority of commuter services from its Central London terminals at London Bridge and London Victoria to South London, East and West Sussex, as well as regional services in parts of Hampshire, Kent and Surrey. It also provides services between Milton Keynes and Croydon via the West London Line.
Major destinations served include: Beckenham Junction, Bexhill, Bognor Regis, Brighton, Caterham, Chichester, Crawley, Eastbourne, East Croydon, East Grinstead, Epsom, Epsom Downs, Gatwick Airport, Horsham, Mitcham Junction, Leatherhead, Littlehampton, Portsmouth Harbour, Redhill, Southampton Central, Sutton (London), Tattenham Corner, Uckfield and Worthing.
It also operates services from Hastings to Ashford, Brighton to Ore, Brighton to Seaford, Brighton to Southampton and East Croydon to Milton Keynes Central.
"
Double-decker bus,"A double-decker bus is a bus that has two storeys or decks. Double-decker buses are used for mass transport in the United Kingdom, Europe, Asia and many former European possessions, the most iconic example being the red London bus, namely the AEC Routemaster.
Early double-deckers put the driver in a separate cab. Passenger access was via an open platform at the rear, and a bus conductor would collect fares. Modern double-deckers have a main entrance door at the front, and the driver takes fares, thus halving the number of bus workers aboard, but slowing the boarding process.  The rear open platform, popular with passengers, was abandoned for safety reasons, as there was a risk of passengers falling when running and jumping onto the bus.
Double-deckers are primarily for commuter transport but open-top models are used as sight-seeing buses for tourists. William Gladstone, speaking of London's double-deck horse-drawn omnibuses, once observed that ""...the best way to see London is from the top of a bus"".[1]
"
,
Landfill,"A landfill site, also known as a tip, dump, rubbish dump, garbage dump, or dumping ground, is a site for the disposal of waste materials. Landfill is the oldest and most common form of waste disposal, although the systematic burial of the waste with daily, intermediate and final covers only began in 1940s.[1] In the past, refuse was simply left in piles or thrown into pits; in archeology this is known as a midden. 
Some landfill sites are also used for waste management purposes, such as temporary storage, consolidation and transfer, or for various stages of processing waste material, such as sorting, treatment, or recycling. Unless they are stabilized, landfills may experience severe shaking or soil liquefaction of the ground during a large earthquake.
"
Nunhead,"Nunhead is a place in Peckham in the London Borough of Southwark in London, England.[2] It is an inner-city suburb located 4 miles (6.4 km) southeast of Charing Cross. It is the location of the 52-acre (0.21 km2) Nunhead Cemetery.[3] Nunhead has traditionally been a working-class area and, with the adjacent neighbourhoods, is currently going through a lengthy process of gentrification.[4][5] Nunhead is the location of several underground reservoirs, built by the Southwark and Vauxhall Waterworks Company.[6]
"
File:Kensington Museums aerial 2011 b.jpg,
"File:Royal Albert Hall Crop, London - Nov 2012.jpg",
List of areas of London,"
London is the capital of and largest city in England and the United Kingdom. It is administered by the City of London and 32 London boroughs. These boroughs are modern, having been created in 1965 and have a weaker sense of identity than their constituent ""districts"" (considered in speech, ""parts of London"" or more formally, ""areas""). Two major factors have shaped the development of London district and sub-district identities; the Ancient Parish - which was used for both civil and ecclesiastical functions - and the pre-urban settlement pattern. 
"
Aldwych,"Aldwych (pronounced /ˈɔːldwɪtʃ/ AWLD-witch) is a one-way street and the name of the area immediately surrounding it in central London, England, within the City of Westminster. The 450 metres (1,480 ft) street starts 600 metres (2,000 ft) east-northeast of Charing Cross, the conventional map centre-point of the city.
The street's semi-circular design arises from its function, making navigable the gradient of the fall in levels between the roads connected by the street: the south end of Kingsway, and the Strand.[1]
The area, unlike the adjoining Temple area, participated in the county of Middlesex until 1965. It forms part of the A4 road from London to Avonmouth, Bristol.
The Aldwych area forms part of the Northbank business improvement district.[2] It is known for hotels, restaurants, two theatres, the High Commissions of India and Australia. It gives its name to the now-closed Underground station on the related section of the Strand (the return of the crescent), which poses as an active tube station in films and television shows. Marking the east end of the street and in the middle of the crescent return are Grade I heritage listed churches designed by Wren and Gibbs. Immediately north-east of St Clement Danes (St Clements), on Strand, is the Royal Courts of Justice, a complex of courts which includes the Court of Appeal of England and Wales.
"
Piccadilly Circus,"Piccadilly Circus is a road junction and public space of London's West End in the City of Westminster.  It was built in 1819 to connect Regent Street with Piccadilly. In this context, a circus, from the Latin word meaning ""circle"", is a round open space at a street junction.[1]
Piccadilly now links directly to the theatres on Shaftesbury Avenue, as well as the Haymarket, Coventry Street (onwards to Leicester Square) and Glasshouse Street. The Circus is close to major shopping and entertainment areas in the West End. Its status as a major traffic junction has made Piccadilly Circus a busy meeting place and a tourist attraction in its own right. The Circus is particularly known for its  video display and neon signs mounted on the corner building on the northern side, as well as the Shaftesbury Memorial Fountain and statue, which is popularly, though mistakenly, believed to be of Eros. It is surrounded by several notable buildings, including the London Pavilion and Criterion Theatre. Directly underneath the plaza is Piccadilly Circus Underground station, part of the London Underground system.
"
Canvey Island,"Canvey Island is a civil parish and reclaimed island in the Thames estuary in Essex, England. It has an area of 7.12 square miles (18.44 km2) and a population of 38,170.[1] It is separated from the mainland of south Essex by a network of creeks. Lying only just above sea level, it is prone to flooding at exceptional tides, but has nevertheless been inhabited since the Roman invasion of Britain.
The island was mainly agricultural land until the 20th century when it became the fastest-growing seaside resort in Britain between 1911 and 1951. The North Sea flood of 1953 devastated the island, killing 58 islanders and leading to the temporary evacuation of the 13,000 residents.[3] Canvey is consequently protected by modern sea defences comprising 2 miles (3.2 km) of concrete sea walls.[4]
Canvey Island is also notable for its relationship to the petrochemical industry. The island was the site of the first delivery in the world of liquefied natural gas by container ship, and later became the subject of an influential assessment on the risks to a population living within the vicinity of petrochemical shipping and storage facilities.
"
General aviation,"General aviation (GA) represents all civil aviation ""aircraft operation other than a commercial air transport or an aerial work operation"".[1]
"
Neasden,"Neasden /ˈniːzdən/ is a suburban area in northwest London, England. It forms part of the London Borough of Brent. Neasden also includes Brent Park and St Raphael's Estate.
"
London Assembly,"The London Assembly is a 25-member elected body, part of the Greater London Authority, that scrutinises the activities of the Mayor of London and has the power, with a two-thirds super-majority, to amend the Mayor's annual budget and to reject the Mayor's draft statutory strategies.[1] The London Assembly was established in 2000 and meets at City Hall on the south bank of the River Thames, close to Tower Bridge. The Assembly is also able to investigate other issues of importance to Londoners (transport, environmental matters, etc.), publish its findings and recommendations, and make proposals to the Mayor.
"
London in World War II,"As the national capital, and by far the largest city, London was central to the British war effort. It was the favourite target of the Luftwaffe (German Air Force) in 1940, and in 1944-45 the target of the V-1 cruise missile and V-2 rocket attacks.
"
A1 road (Great Britain)," A406
 M1
 A41
 M25
 A421
 A428
 A14
 A141
 A15
 A47
 A606
 A43
 A52
 A17
 A46
 A57
 M18
 M62
 A63
 A64
 A168
 A61
 A66
 A66(M)
 A689
 A690
 A194(M)
 A1231
 A19
 A69
 A167
 A720
 A900
The A1 is the longest numbered road in the UK, at 410 miles (660 km). It connects London, the capital of England, with Edinburgh, the capital of Scotland. It passes through or near North London, Hatfield, Welwyn Garden City, Stevenage, Baldock, Letchworth Garden City, Huntingdon, Peterborough, Stamford, Grantham, Newark-on-Trent, Retford, Doncaster, York, Ripon, Darlington, Durham, Sunderland, Gateshead, Newcastle upon Tyne, Alnwick and Berwick-upon-Tweed.[2][3]
It was designated by the Ministry of Transport in 1921, and for much of its route it followed various branches of the historic Great North Road, the main deviation being between Boroughbridge and Darlington. The course of the A1 has changed where towns or villages have been bypassed, and where new alignments have taken a slightly different route. Several sections of the route have been upgraded to motorway standard and designated A1(M). Between the M25 (near London) and the A696 (near Newcastle upon Tyne) the road has been designated as part of the unsigned Euroroute E15 from Inverness to Algeciras.
The A1 is the latest in a series of routes north from London to York and beyond. It was designated in 1921 by the Ministry of Transport under the Great Britain road numbering scheme.[4][5] The earliest documented northern routes are the roads created by the Romans during the period from AD 43 to AD 410, which consisted of several itinera (plural of iter) recorded in the Antonine Itinerary.[6] A combination of these were used by the Anglo-Saxons as the route from London to York, and together became known as Ermine Street.[7] Ermine Street later became known as the Old North Road.[8] Part of this route in London is followed by the current A10.[9] By the 12th century, because of flooding and damage by traffic, an alternative route out of London was found through Muswell Hill, and became part of the Great North Road.[8][9] A turnpike road, New North Road and Canonbury Road (A1200 road), was constructed in 1812 linking the start of the Old North Road around Shoreditch with the Great North Road at Highbury Corner.[10] While the route of the A1 outside London mainly follows the Great North Road route used by mail coaches between London and Edinburgh, within London the coaching route is only followed through Islington.[11]
Bypasses were built around Barnet and Hatfield in 1927, but it was not until c.1954 that they were renumbered A1. In the 1930s bypasses were added around Chester-le-Street and Durham and the Ferryhill Cut was dug. In 1960 Stamford, Biggleswade and Doncaster were bypassed, as were Retford in 1961 and St Neots in 1971. Baldock was bypassed in July 1967. During the early 1970s plans to widen the A1 along Archway Road in London were abandoned after considerable opposition and four public inquiries during which road protesters disrupted proceedings.[12] The scheme was finally dropped in 1990.[13] The Hatfield cut-and-cover was opened in 1986.[14]
A proposal to upgrade the whole of the A1 to motorway status was investigated by the government in 1989[15] but was dropped in 1995, along with many other schemes, in response to road protests against other road schemes (including the Newbury Bypass and the M3 extension through Twyford Down).[16]
"
Imperial College London,"Imperial College London (legally Imperial College of Science, Technology and Medicine)[7] is a public research university in London. Dating back to the Royal College of Chemistry's foundation in 1845, Imperial grew out of Prince Albert's vision of an area for culture, including the Royal Albert Hall, Imperial Institute, numerous museums, and the Royal Colleges that would go on to form the college.[8][9] In 1907, Imperial College was established by Royal Charter, merging the Royal College of Science, Royal School of Mines, and City and Guilds College.[10]  In 1988, the Imperial College School of Medicine was formed by combining with St Mary's Hospital Medical School. In 2004, Queen Elizabeth II opened the Imperial College Business School.
The college focuses exclusively on science, technology, medicine and business. The college's main campus is located in South Kensington, and it has an innovation campus in White City, a research field station at Silwood Park, and teaching hospitals throughout London. The college was a member of the University of London from 1908, becoming independent on its centenary in 2007.[11][12]  Imperial has an international community, with more than 59% of students from outside the UK and 140 countries represented on campus.[13][14] Student, staff, and researcher affiliations include 14 Nobel laureates, 3 Fields Medalists, 1 Turing Award winner, 74 Fellows of the Royal Society, 87 Fellows of the Royal Academy of Engineering, and 85 Fellows of the Academy of Medical Sciences.[15]
"
Fulham Railway Bridge,"Fulham Railway Bridge crosses the River Thames in London. It is very close to Putney Bridge, and carries the London Underground District line between Putney Bridge station on the North, and East Putney station on the South. Fulham Railway Bridge can also be crossed on foot, on the downstream (east) side.  
Originally referred to by its design engineers W.H. Thomas and William Jacomb as Putney Railway Bridge it has no official name,[1] but for over a hundred years it has been known colloquially as ""The Iron Bridge"".[2]
"
"Rochester, Kent","Rochester (/ˈrɒtʃɪstər/ ROTCH-iss-tər) is a town and was a historic city in the unitary authority of Medway in Kent, England. It is at the lowest bridging point of the River Medway about 30 miles (50 km) from London.
Rochester was for many years a favourite of Charles Dickens, who owned nearby Gads Hill Place, Higham,[2] basing many of his novels on the area. The Diocese of Rochester, the second oldest in England, is centred on Rochester Cathedral and was responsible for the founding of a school, now The King's School in 604 AD,[3] which is recognised as being the second oldest continuously running school in the world. Rochester Castle, built by Bishop Gundulf of Rochester, has one of the best preserved keeps in either England or France, and during the First Barons' War (1215–1217) in King John's reign, baronial forces captured the castle from Archbishop Stephen Langton and held it against the king, who then besieged it.[4]
Rochester, Chatham and Gillingham, Strood and a number of outlying villages form a single large urban area known as the Medway Towns with a population of about 250,000. These places nowadays make up the Medway Unitary Authority area. It was, until 1998,[5] under the control of Kent County Council and is still part of the ceremonial county of Kent, under the latest Lieutenancies Act.[6]
"
Tate Modern,"Tate Modern is a modern art gallery located in London. It is Britain's national gallery of international modern art and forms part of the Tate group (together with Tate Britain, Tate Liverpool, Tate St Ives and Tate Online).[3] It is based in the former Bankside Power Station, in the Bankside area of the London Borough of Southwark. Tate holds the national collection of British art from 1900 to the present day and international modern and contemporary art.[4] Tate Modern is one of the largest museums of modern and contemporary art in the world. As with the UK's other national galleries and museums, there is no admission charge for access to the collection displays, which take up the majority of the gallery space, while tickets must be purchased for the major temporary exhibitions. The gallery is a highly visited museum, with 5,868,562 visitors in 2018, making it the sixth-most visited art museum in the world, and the most visited in Britain.[5]
"
Bethnal Green,"Bethnal Green is an area in the East End of London centred 1 mile (1.6 km) northeast of Liverpool Street station. It has two Overground stations (one being named Cambridge Heath) and one Underground station. It currently also gives its name to an electoral ward of the London Borough of Tower Hamlets and co-encompasses St Peter's ward (emulating its Anglican daughter parish to that saint).[2][3][4] Part of the area holds conservation area status, chiefly due to protected small, public greens and listed buildings.[5] The area emerged from the hamlet which developed around the Green,[6] much of which survives today as Bethnal Green Gardens, beside Cambridge Heath Road.
Economic focus has shifted from mainstream farming produce for the City of London – through highly perishable goods production (market gardening), weaving, dock and building work and light industry – to a high proportion of commuters to city businesses, public sector/care sector roles, construction, courier businesses and home-working digital and creative industries. Identifiable slums in the maps of Booth in Life and Labour of the People in London (3 editions, 1889–1903) were in large part cleared before the aerial bombardment of the Second World War which accelerated clearance of many tightly packed terraces of small houses to be replaced with green spaces and higher-rise social housing. In 1943, such a bomb killed 173 people at Bethnal Green Underground station. Bethnal Green has stations on the London Underground and London Overground. In 2005, commuters on Hackney Road which straddles Bethnal Green and Haggerston bore a terrorist attack on London bus route 26 amid others on the same day.
"
London in film,"London has been used frequently both as a filming location and as a film setting. These have ranged from historical recreations of the Victorian London of Charles Dickens and Sherlock Holmes, to the romantic comedies of Bridget Jones's Diary and Notting Hill, by way of crime films, spy thrillers, science fiction and the ""swinging London"" films of the 1960s.
Because of the dominant role played by the city in the British media, the number of British films set in London is huge. It has also been used many times in American films, and often recreated on a Hollywood studio backlot.
"
Jamaica,"Jamaica (/dʒəˈmeɪkə/ (listen)) is an island country situated in the Caribbean Sea. Spanning 10,990 square kilometres (4,240 sq mi) in area, it is the third-largest island of the Greater Antilles and the Caribbean (after Cuba and Hispaniola).[11] Jamaica lies about 145 kilometres (90 mi) south of Cuba, and 191 kilometres (119 mi) west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic); the British Overseas Territory of the Cayman Islands lies some 215 kilometres (134 mi) to the north-west.
Originally inhabited by the indigenous Arawak and Taíno peoples, the island came under Spanish rule following the arrival of Christopher Columbus in 1494. Many of the indigenous people were either killed or died of diseases to which they had no immunity, and the Spanish thus forcibly transplanted large numbers of African slaves to Jamaica as labourers.[11] The island remained a possession of Spain until 1655, when England (later Great Britain) conquered it, renaming it Jamaica. Under British colonial rule Jamaica became a leading sugar exporter, with a plantation economy dependent on the African slaves and later their descendants. The British fully emancipated all slaves in 1838, and many freedmen chose to have subsistence farms rather than to work on plantations. Beginning in the 1840s, the British began utilising Chinese and Indian indentured labour to work on plantations. The island achieved independence from the United Kingdom on 6 August 1962.[11]
With 2.9 million people,[12][13] Jamaica is the third-most populous Anglophone country in the Americas (after the United States and Canada), and the fourth-most populous country in the Caribbean. Kingston is the country's capital and largest city. The majority of Jamaicans are of Sub-Saharan African ancestry, with significant European, East Asian (primarily Chinese), Indian, Lebanese, and mixed-race minorities.[11]  Due to a high rate of emigration for work since the 1960s, there is a large Jamaican diaspora, particularly in Canada, the United Kingdom, and the United States. The country has a global influence that belies its small size; it was the birthplace of the Rastafari religion, reggae music (and associated genres such as dub, ska and dancehall), and it is internationally prominent in sports, most notably cricket, sprinting and athletics.[14][15][16]
Jamaica is an upper-middle income country[17] with an economy heavily dependent on tourism; it has an average of 4.3 million tourists a year.[18] Politically it is a Commonwealth realm, with Elizabeth II as its queen.[11] Her appointed representative in the country is the Governor-General of Jamaica, an office held by Patrick Allen since 2009. Andrew Holness has served as Prime Minister of Jamaica since March 2016. Jamaica is a parliamentary constitutional monarchy with legislative power vested in the bicameral Parliament of Jamaica, consisting of an appointed Senate and a directly elected House of Representatives.[11]
"
Charing Cross Road,"Charing Cross Road is a street in central London running immediately north of St Martin-in-the-Fields to St Giles Circus (the intersection with Oxford Street) and then becomes Tottenham Court Road. It is so called because it leads from the north in the direction of Charing Cross at the south side of Trafalgar Square, which it connects via St Martin's Place and the motorised east side of the square.
"
Paris,"Paris (French pronunciation: ​[paʁi] (listen)) is the capital and most populous city of France, with an estimated population of 2,150,271 residents as of 2020, in an area of 105 square kilometres (41 square miles).[1] Since the 17th century, Paris has been one of Europe's major centres of finance, diplomacy, commerce, fashion, science and arts. The City of Paris is the centre and seat of government of the Île-de-France, or Paris Region, which has an estimated official 2020 population of 12,278,210, or about 18 percent of the population of France.[1] The Paris Region had a GDP of €709 billion ($808 billion) in 2017.[3] According to the Economist Intelligence Unit Worldwide Cost of Living Survey in 2018, Paris was the second most expensive city in the world, after Singapore, and ahead of Zürich, Hong Kong, Oslo and Geneva.[4] Another source ranked Paris as most expensive, on a par with Singapore and Hong Kong, in 2018.[5][6]
The city is a major railway, highway and air-transport hub served by two international airports: Paris–Charles de Gaulle (the second busiest airport in Europe) and Paris–Orly.[7][8] Opened in 1900, the city's subway system, the Paris Métro, serves 5.23 million passengers daily;[9] it is the second busiest metro system in Europe after the Moscow Metro. Gare du Nord is the 24th busiest railway station in the world, but the first located outside Japan, with 262 million passengers in 2015.[10] Paris is especially known for its museums and architectural landmarks: the Louvre was the most visited art museum in the world in 2019, with 9.6 million visitors.[11][12] The Musée d'Orsay, Musée Marmottan Monet, and Musée de l'Orangerie are noted for their collections of French Impressionist art, the Pompidou Centre Musée National d'Art Moderne has the largest collection of modern and contemporary art in Europe, and the Musée Rodin and Musée Picasso exhibit the works of two noted Parisians. The historical district along the Seine in the city centre is classified as a UNESCO Heritage Site, and popular landmarks in the city centre included the Cathedral of Notre Dame de Paris, on the Île de la Cité, now closed for renovation after the 15 April 2019 fire. Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the Basilica of Sacré-Coeur on the hill of Montmartre.
Paris received 38 million visitors in 2019, measured by hotel stays, with the largest numbers of foreign visitors coming from the United States, the United Kingdom, Germany and China.[13] It was ranked as the second  most visited travel destination in the world in 2019, after Bangkok and just ahead of London.[14] The football club Paris Saint-Germain and the rugby union club Stade Français are based in Paris. The 80,000-seat Stade de France, built for the 1998 FIFA World Cup, is located just north of Paris in the neighbouring commune of Saint-Denis. Paris hosts the annual French Open Grand Slam tennis tournament on the red clay of Roland Garros. The city hosted the Olympic Games in 1900, 1924 and will host the 2024 Summer Olympics. The 1938 and 1998 FIFA World Cups, the 2007 Rugby World Cup, as well as the 1960, 1984 and 2016 UEFA European Championships were also held in the city. Every July, the Tour de France bicycle race finishes on the Avenue des Champs-Élysées in Paris.
"
Dartford,"Dartford is the principal town in the Borough of Dartford, Kent, England.[1] It is located 18 miles (29 kilometres) south-east of Central London, and
is situated adjacent to the London Borough of Bexley to its west. To its north, across the Thames estuary, is Thurrock in Essex, which can be reached via the Dartford Crossing.
The town centre lies in a valley through which the River Darent flows,[1] and where the old road from London to Dover crossed: hence the name, from Darent + ford. Dartford became a market town in medieval times and, although today it is principally a commuter town for Greater London, it has a long history of religious, industrial and cultural importance. It is an important rail hub; the main through-road now by-passes the town itself.
Dartford is twinned with Hanau in Germany and Gravelines in France.[2]
"
Welsh language,"Welsh (Cymraeg [kəmˈraːɨɡ] (listen) or y Gymraeg [ə ɡəmˈraːɨɡ]) is a Brittonic language of the Celtic language family. It is spoken natively in Wales, by some in England, and in Y Wladfa (the Welsh colony in Chubut Province, Argentina).[8] Historically, it has also been known in English as ""British"",[9] ""Cambrian"",[10] ""Cambric""[11] and ""Cymric"".[12]
According to the United Kingdom Census 2011, 19 percent of residents in Wales aged three and over were able to speak Welsh. According to the 2001 Census, 21 percent of the population aged 3+ were able to speak Welsh. This suggests that there was a decrease in the number of Welsh speakers in Wales from 2001 to 2011 – from about 582,000 to 562,000 respectively.
The Annual Population Survey conducted by the Office for National Statistics for the year ending in March 2020 concluded that 855,200 Welsh residents (28.3 percent) aged three or over were able to speak Welsh.[13] The results for the most recent National Survey for Wales (2018-2019) suggest that 22 per cent of the population aged three and over were able to speak Welsh, with an additional 16 per cent noting that they had ""some Welsh speaking ability"".[14]
The Welsh Language (Wales) Measure 2011 gave the Welsh language official status in Wales,[15] making it the only language that is de jure official in any part of the United Kingdom, with English being de facto official. The Welsh language, along with English, is also a de jure official language of the Senedd.[16]
The Welsh government plan to have one million Welsh language speakers by 2050. There has been an increase in children going to Welsh-medium schools since 1980 and a decrease in those going to Welsh bilingual and dual-medium schools.[17]
"
Love Actually,"Love Actually is a 2003 Christmas-themed romantic comedy film written and directed by Richard Curtis. It features an ensemble cast, composed predominantly of British actors, many of whom had worked with Curtis in previous film and television projects. Mostly filmed on location in London, the screenplay delves into different aspects of love as shown through ten separate stories involving a wide variety of individuals, many of whom are shown to be interlinked as the tales progress. The story begins five weeks before Christmas and is played out in a weekly countdown until the holiday, followed by an epilogue that takes place one month later.
An international co-production between the United Kingdom, the United States and France,[1] the film was released in the United States on 14 November 2003 where it received mixed reviews. One week later, it opened in the United Kingdom,  to positive reviews. Love Actually was a box-office success, grossing $248 million worldwide on a budget of $40–45 million. It received a nomination for the Golden Globe Award for Best Motion Picture – Musical or Comedy. Frequently shown during the Christmas season, the film has proved more popular with audiences than critics, and it has been discussed as being arguably a modern-day Christmas staple.[4][5]
"
Stagecoach London,"Stagecoach London is a bus operator in London. It is a subsidiary of Stagecoach and operates services under contract to Transport for London mostly in east and south-east and partly in central London
"
Newham Collegiate Sixth Form Centre,"Newham Collegiate Sixth Form Centre City of London Academy (also known as The NCS ) is a student-selective state funded Sixth Form college located in East Ham, London, administered by the City of London Academies Trust. Ofsted stated centre’s provision as, “outstanding” in a 2016 report of Newham Council's Skills Funding Agency.
The college is coeducational and is affiliated with University College London. As one the most demanding newly established sixth form colleges in London.
The NCS specialises in the teaching of Maths and the Sciences, and contains nine labs that are equipped to a high standard for studying the Sciences (Biology, Chemistry and Physics).
The NCS opened as a 16-19 Free School on 1 January 2018, as part of the City of London Multi-Academy Trust.
The founding Principal, Mouhssin Ismail, a former City of London leading lawyer, was the former Director of Sixth Form at Seven Kings High School.[1] Many key teachers –  including Deputy Principal Anita Lomax –  also joined from Seven Kings.[2]
"
London Southend Airport,"London Southend Airport (IATA: SEN, ICAO: EGMC) is an international airport in Southend-on-Sea in Essex, England, approximately 36 miles (58 km) from the centre of London.[3]
Southend was London's third-busiest airport from the 1960s until the end of the 1970s, when it was overtaken in passenger numbers by London Stansted Airport.[4][5] Following its purchase by Stobart Group in 2008,[5] a development programme[6][7][8] provided a new terminal[9] and control tower,[10] extended runway,[11] and connection to central London via a regular rail service running between Liverpool Street Station and Southend Airport Station on the Shenfield–Southend line, continuing on to Southend Victoria.[10]
"
Fallow deer,"Cervus dama Linnaeus, 1758
The fallow deer (Dama dama) is a ruminant mammal belonging to the family Cervidae. This common species is native to Europe, but has been introduced to Antigua and Barbuda, Argentina, South Africa, Fernando Pó, São Tomé, Madagascar, Mauritius, Mayotte, Réunion, Seychelles, Comoro Islands, Morocco, Algeria, Tunisia, Cyprus, Israel, Cape Verde, Lebanon, Australia, New Zealand, Canada, the United States, the Falkland Islands, and Peru.[2] Some taxonomers include the rarer Persian fallow deer as a subspecies (D. d. mesopotamica),[3] while others treat it as a different species (D. mesopotamica).[1]
The male fallow deer is known as a buck, the female is a doe, and the young a fawn. Adult bucks are 140–160 cm (55–63 in) long, 85–95 cm (33–37 in) in shoulder height, and typically 60–100 kg (130–220 lb) in weight; does are 130–150 cm (51–59 in) long, 75–85 cm (30–33 in) in shoulder height, and 30–50 kg (66–110 lb) in weight. The largest bucks may measure 190 cm (75 in) long and weigh 150 kg (330 lb).[4] Fawns are born in spring around 30 cm (12 in) and weigh around 4.5 kg (10 lb). Their lifespan is around 12–16 years.
Much variation occurs in the coat colour of the species, with four main variants: common, menil, melanistic, and leucistic – a genuine colour variety, not albinistic.[5] The white is the lightest coloured, almost white; common and menil are darker, and melanistic is very dark, sometimes even black (easily confused with the sika deer).
Most herds consist of the common coat variation, yet animals of the menil coat variation are not rare. The melanistic variation is generally rarer, and white is very much rarer still, although wild New Zealand herds often have a high melanistic percentage.[7]
Only bucks have antlers, which are broad and shovel-shaped (palmate) from three years. In the first two years, the antler is a single spike. They are grazing animals; their preferred habitat is mixed woodland and open grassland. During the rut, bucks spread out and females move between them; at this time of year, fallow deer are relatively ungrouped compared to the rest of the year, when they try to stay together in groups of up to 150.
"
CM postcode area,"Postcode district boundaries: The CM postcode area, also known as the Chelmsford postcode area,[2] is a group of 25 postcode districts in England, within 16 post towns. These cover central Essex (including Chelmsford, Harlow, Brentwood, Billericay, Braintree, Burnham-on-Crouch, Dunmow, Epping, Ingatestone, Maldon, Ongar, Southminster, Stansted and Witham), plus a small part of east Hertfordshire (including Bishop's Stortford and Sawbridgeworth) and a very small part of the London Borough of Havering.
The southern part of the CM7 district for Braintree was recoded to CM77 in 2002.[3]
"
SOAS University of London,"SOAS University of London (/ˈsoʊæs/; the School of Oriental and African Studies)[3] is a public research university in London, England, and a constituent college of the federal University of London.  Founded in 1916, SOAS is located in the heart of Bloomsbury, in central London.
SOAS is one of the world's leading institutions for the study of Asia, Africa, and the Middle East.[4] It houses the Brunei Gallery, built from an endowment from the Sultan of Brunei Darussalam, and inaugurated by the Princess Royal, as Chancellor of the University of London, on 22 November 1995. The Brunei Gallery hosts a programme of changing contemporary and historical exhibitions from Asia, Africa and the Middle East with the aim to present and promote cultures from these regions.
SOAS is divided into three faculties: Faculty of Arts and Humanities, Faculty of Languages and Cultures and Faculty of Law and Social Sciences. It is home to the SOAS School of Law which is one of leading law schools in the UK. The university offers around 350 undergraduate bachelor's degree combinations, more than 100 one-year master's degrees and PhD programmes in nearly every department. The university has a student-staff ratio of 11:1.[citation needed] The university has produced several heads of states, government ministers, diplomats, central bankers, Supreme Court judges, a Nobel Peace Prize Laureate and many other notable leaders around the world. SOAS is a member of Association of Commonwealth Universities.
"
,
